gid,lon,lat,인구,LISA_I,LISA유형,Gi_z
라라063729,127.569631,35.051577,11,0.0523,LL,-0.488
라라063733,127.569635,35.055184,0,0.0,이웃없음,-0.298
라라064625,127.570647,34.957795,9,0.0585,LL,-0.574
라라064627,127.570649,34.959599,8,0.0682,LL,-0.476
라라064631,127.570652,34.963206,68,0.0959,HH,0.861
라라064632,127.570653,34.964108,60,0.1583,HH,1.991
라라064633,127.570654,34.965009,59,0.1363,HH,1.789
라라064634,127.570654,34.965911,65,0.1336,HH,1.348
라라064635,127.570655,34.966813,37,0.0036,HH,0.391
라라064636,127.570656,34.967715,130,-0.057,HL,0.246
라라064646,127.570664,34.976732,11,0.0395,LL,-0.518
라라064647,127.570664,34.977634,12,0.0341,LL,-0.438
라라064650,127.570667,34.980339,0,0.0636,LL,-0.558
라라064653,127.570669,34.983044,6,0.0,이웃없음,-0.246
라라064655,127.570671,34.984848,6,0.0734,LL,-0.385
라라064663,127.570677,34.992062,6,0.0734,LL,-0.385
라라064712,127.570715,35.036247,0,0.0599,LL,-0.493
라라064713,127.570716,35.037149,0,0.0554,LL,-0.466
라라064729,127.570728,35.051577,0,0.0567,LL,-0.392
라라064774,127.570763,35.092155,0,0.0,이웃없음,-0.298
라라065625,127.571743,34.957795,6,0.0638,LL,-0.442
라라065626,127.571743,34.958696,0,0.074,LL,-0.578
라라065627,127.571744,34.959598,0,0.0785,LL,-0.476
라라065630,127.571747,34.962303,0,-0.5621,LH,3.242
라라065631,127.571747,34.963205,130,0.8826,HH,2.941
라라065632,127.571748,34.964107,135,0.8395,HH,2.87
라라065633,127.571749,34.965009,99,0.1035,HH,0.682
라라065634,127.57175,34.96591,7,-0.0489,LH,0.378
라라065645,127.571758,34.97583,0,0.0468,LL,-0.385
라라065646,127.571759,34.976731,32,0.0044,LL,-0.373
라라065647,127.57176,34.977633,21,0.0163,LL,-0.268
라라065650,127.571762,34.980338,8,0.0682,LL,-0.476
라라065651,127.571763,34.98124,0,0.0785,LL,-0.476
라라065659,127.571769,34.988454,7,0.0,이웃없음,-0.238
라라065711,127.57181,35.035345,8,0.0438,LL,-0.402
라라065712,127.571811,35.036246,37,-0.0061,HL,-0.493
라라065714,127.571813,35.03805,15,0.0502,LL,-0.33
라라065764,127.571852,35.083137,0,0.0,이웃없음,-0.298
라라066606,127.572823,34.940661,0,0.0,이웃없음,-0.298
라라066630,127.572842,34.962303,180,1.4633,HH,2.891
라라066631,127.572843,34.963205,633,2.0835,HH,2.801
라라066632,127.572844,34.964106,32,-0.0226,LH,2.789
라라066633,127.572844,34.965008,90,0.0749,HH,0.557
라라066634,127.572845,34.96591,0,-0.0412,LH,0.114
라라066644,127.572853,34.974927,6,-0.2011,LH,0.801
라라066654,127.572861,34.983945,13,0.0,이웃없음,-0.186
라라066661,127.572867,34.990257,0,0.0,이웃없음,-0.298
라라066706,127.572903,35.030835,18,0.0425,LL,-0.519
라라066707,127.572904,35.031737,0,0.0657,LL,-0.427
라라066712,127.572908,35.036246,0,0.0309,LL,-0.292
라라067610,127.573921,34.944267,8,0.0465,LL,-0.466
라라067611,127.573922,34.945169,0,0.0519,LL,-0.411
라라067630,127.573937,34.962302,19,-0.1906,LH,2.852
라라067631,127.573938,34.963204,64,0.2417,HH,2.616
라라067632,127.573939,34.964106,89,0.3688,HH,2.247
라라067633,127.57394,34.965007,6,-0.0344,LH,0.224
라라067645,127.57395,34.975828,258,7.4272,HH,8.644
라라067646,127.57395,34.97673,1001,17.4408,HH,7.677
라라067647,127.573951,34.977632,198,3.0286,HH,4.956
라라067648,127.573952,34.978534,0,-0.132,LH,0.659
라라067663,127.573964,34.99206,0,0.0373,LL,-0.299
라라067705,127.573998,35.029933,0,0.0657,LL,-0.427
라라067706,127.573999,35.030835,0,0.0734,LL,-0.519
라라067743,127.574029,35.064199,0,0.0889,LL,-0.422
라라067744,127.57403,35.065101,0,0.0889,LL,-0.422
라라068609,127.575015,34.943365,9,0.0479,LL,-0.436
라라068610,127.575016,34.944266,11,0.0406,LL,-0.531
라라068611,127.575017,34.945168,24,0.021,LL,-0.56
라라068619,127.575024,34.952382,6,0.0464,LL,-0.406
라라068620,127.575025,34.953284,0,0.0511,LL,-0.406
라라068630,127.575033,34.962301,36,0.0034,HH,0.481
라라068631,127.575034,34.963203,83,0.1705,HH,1.156
라라068632,127.575034,34.964105,82,0.2851,HH,1.991
라라068633,127.575035,34.965007,11,-0.2652,LH,2.887
라라068644,127.575044,34.974926,517,9.2256,HH,6.223
라라068645,127.575045,34.975828,597,12.7878,HH,8.237
라라068646,127.575046,34.976729,277,4.3339,HH,6.22
라라068647,127.575047,34.977631,51,0.2176,HH,4.121
라라068648,127.575048,34.978533,84,0.0863,HH,0.651
라라068649,127.575048,34.979435,10,-0.0071,LH,-0.018
라라068662,127.575059,34.991157,20,0.0323,LL,-0.449
라라068687,127.57508,35.013701,0,0.0715,LL,-0.562
라라068688,127.57508,35.014603,0,0.076,LL,-0.59
라라069610,127.576111,34.944266,9,0.0404,LL,-0.532
라라069611,127.576112,34.945167,18,0.0306,LL,-0.541
라라069612,127.576113,34.946069,0,0.0528,LL,-0.415
라라069619,127.576119,34.952382,7,0.0455,LL,-0.406
라라069620,127.57612,34.953283,31,0.0082,LL,-0.497
라라069626,127.576125,34.958694,0,0.0,이웃없음,-0.298
라라069631,127.576129,34.963202,95,0.2454,HH,1.263
라라069632,127.57613,34.964104,186,1.2117,HH,2.907
라라069633,127.576131,34.965006,385,4.1216,HH,4.443
라라069634,127.576131,34.965908,366,5.5873,HH,4.773
라라069643,127.576139,34.974023,287,2.9013,HH,3.607
라라069644,127.57614,34.974925,290,3.5794,HH,4.797
라라069645,127.576141,34.975827,21,-0.1942,LH,4.407
라라069646,127.576141,34.976729,9,-0.2056,LH,2.417
라라069647,127.576142,34.97763,56,0.0656,HH,1.005
라라069648,127.576143,34.978532,64,0.0237,HH,0.333
라라069649,127.576144,34.979434,26,-0.0087,LH,0.266
라라069650,127.576145,34.980336,18,-0.0121,LH,0.139
라라069651,127.576146,34.981237,33,-0.0024,LH,0.323
라라069662,127.576155,34.991157,0,0.0451,LL,-0.347
라라069663,127.576156,34.992058,14,0.039,LL,-0.419
라라069664,127.576156,34.99296,7,0.0421,LL,-0.293
라라069686,127.576175,35.012798,7,0.0571,LL,-0.48
라라069687,127.576176,35.0137,20,0.0358,LL,-0.635
라라069688,127.576177,35.014602,0,0.0785,LL,-0.66
라라069689,127.576177,35.015504,0,0.0889,LL,-0.516
라라069702,127.576188,35.027226,0,0.0768,LL,-0.536
라라069703,127.576189,35.028128,0,0.0889,LL,-0.516
라라069705,127.576191,35.029932,0,0.0,이웃없음,-0.298
라라069726,127.576208,35.048868,0,0.0,이웃없음,-0.298
라라070608,127.577205,34.942462,10,0.0436,LL,-0.415
라라070609,127.577206,34.943363,17,0.032,LL,-0.446
라라070610,127.577207,34.944265,14,0.036,LL,-0.443
라라070611,127.577207,34.945167,0,0.0625,LL,-0.508
라라070621,127.577216,34.954184,0,0.009,LL,-0.232
라라070631,127.577224,34.963202,92,0.1546,HH,0.894
라라070632,127.577225,34.964104,54,0.166,HH,2.685
라라070633,127.577226,34.965005,331,3.6131,HH,4.4
라라070634,127.577227,34.965907,314,4.9821,HH,4.773
라라070637,127.577229,34.968612,0,0.0889,LL,-0.422
라라070641,127.577233,34.972219,0,-0.3831,LH,2.167
라라070642,127.577234,34.973121,29,-0.0218,LH,1.021
라라070643,127.577234,34.974023,54,0.1255,HH,1.905
라라070644,127.577235,34.974925,52,0.0887,HH,1.616
라라070645,127.577236,34.975826,27,-0.0152,LH,0.604
라라070646,127.577237,34.976728,49,-0.0008,HL,0.025
라라070647,127.577238,34.97763,62,0.0054,HH,0.14
라라070648,127.577239,34.978532,7,-0.0326,LH,0.287
라라070649,127.57724,34.979433,66,0.0029,HH,0.12
라라070650,127.57724,34.980335,88,-0.0105,HL,0.094
라라070651,127.577241,34.981237,43,0.0153,HH,0.541
라라070652,127.577242,34.982139,74,0.3925,HH,2.488
라라070675,127.577262,35.002879,0,0.0691,LL,-0.497
라라070687,127.577272,35.0137,0,0.061,LL,-0.54
라라070700,127.577283,35.025422,0,0.0663,LL,-0.532
라라070701,127.577284,35.026324,14,0.0448,LL,-0.532
라라070703,127.577285,35.028127,0,0.0889,LL,-0.516
라라071607,127.578299,34.941559,8,0.0511,LL,-0.449
라라071608,127.5783,34.942461,7,0.0482,LL,-0.47
라라071630,127.578319,34.962299,0,0.0167,LL,-0.234
라라071631,127.57832,34.963201,20,0.0001,LL,-0.046
라라071632,127.578321,34.964103,68,0.0894,HH,0.921
라라071633,127.578321,34.965005,11,-0.147,LH,1.721
라라071636,127.578324,34.96771,0,0.0889,LL,-0.516
라라071639,127.578327,34.970415,11,-0.2583,LH,2.186
라라071640,127.578327,34.971317,619,-0.0726,HL,1.878
라라071641,127.578328,34.972219,31,-0.0233,LH,1.899
라라071642,127.578329,34.97312,54,0.0167,HH,0.322
라라071643,127.57833,34.974022,99,0.0391,HH,0.373
라라071644,127.578331,34.974924,34,-0.0001,LH,0.076
라라071645,127.578332,34.975826,7,0.01,LL,-0.192
라라071646,127.578333,34.976727,31,0.0012,LL,-0.114
라라071647,127.578333,34.977629,57,-0.0073,HL,-0.036
라라071648,127.578334,34.978531,24,-0.0036,LH,0.076
라라071649,127.578335,34.979433,48,0.0005,HH,0.051
라라071650,127.578336,34.980334,11,-0.0145,LH,0.123
라라071651,127.578337,34.981236,10,-0.0494,LH,0.552
라라071652,127.578338,34.982138,176,1.0421,HH,2.544
라라071653,127.578339,34.98304,576,5.4714,HH,4.423
라라071654,127.578339,34.983941,212,4.3633,HH,5.778
라라071656,127.578341,34.985745,0,-0.828,LH,1.754
라라071665,127.578349,34.99386,0,0.067,LL,-0.432
라라071666,127.57835,34.994762,0,0.0534,LL,-0.454
라라071667,127.578351,34.995664,0,0.0415,LL,-0.406
라라071668,127.578351,34.996566,20,0.0239,LL,-0.441
라라071669,127.578352,34.997467,0,0.0511,LL,-0.406
라라071674,127.578357,35.001976,8,0.0534,LL,-0.402
라라071675,127.578357,35.002878,15,0.0463,LL,-0.497
라라071676,127.578358,35.00378,0,0.076,LL,-0.532
라라071678,127.57836,35.005583,0,0.0657,LL,-0.427
라라071680,127.578362,35.007387,0,0.0554,LL,-0.387
라라071686,127.578367,35.012797,8,0.0374,LL,-0.427
라라071687,127.578368,35.013699,19,0.0205,LL,-0.334
라라071692,127.578372,35.018208,10,0.0466,LL,-0.305
라라071693,127.578373,35.019109,9,0.0562,LL,-0.422
라라071694,127.578374,35.020011,0,0.0657,LL,-0.367
라라071699,127.578378,35.02452,0,0.0889,LL,-0.596
라라071700,127.578379,35.025421,0,0.0738,LL,-0.675
라라071701,127.57838,35.026323,21,0.0319,LL,-0.607
라라072608,127.579395,34.94246,9,0.0528,LL,-0.528
라라072630,127.579414,34.962299,0,0.0729,LL,-0.621
라라072631,127.579415,34.9632,0,0.0407,LL,-0.443
라라072632,127.579416,34.964102,27,0.0085,LL,-0.37
라라072633,127.579417,34.965004,27,0.008,LL,-0.327
라라072634,127.579418,34.965906,7,0.0446,LL,-0.443
라라072637,127.57942,34.968611,0,0.0435,LL,-0.42
라라072638,127.579421,34.969513,18,0.0109,LL,-0.227
라라072639,127.579422,34.970414,45,0.0605,HH,1.685
라라072640,127.579423,34.971316,45,0.0587,HH,1.757
라라072641,127.579424,34.972218,65,0.2294,HH,2.412
라라072642,127.579425,34.97312,54,0.0555,HH,0.936
라라072643,127.579426,34.974021,36,0.0035,HH,0.719
